pin,office_name,district_id,state_id,district_name,state_name,delivery_status,division,region,circle
506146,Palakurthy S.O,TS-Jangoan,TS,Jangoan,Telangana,Delivery,Hanamkonda Division,Hyderabad Region,Telangana Circle
506345,Ghanpur  S.O,TS-Jayashankar Bhupalapally,TS,Jayashankar Bhupalapally,Telangana,Delivery,Hanamkonda Division,Hyderabad Region,Telangana Circle
506366,Mogullapalli S.O,TS-Jayashankar Bhupalapally,TS,Jayashankar Bhupalapally,Telangana,Delivery,Hanamkonda Division,Hyderabad Region,Telangana Circle
506347,Pasra S.O,TS-Mulugu,TS,Mulugu,Telangana,Delivery,Hanamkonda Division,Hyderabad Region,Telangana Circle
506348,Regonda S.O,TS-Jayashankar Bhupalapally,TS,Jayashankar Bhupalapally,Telangana,Delivery,Hanamkonda Division,Hyderabad Region,Telangana Circle
505425,Dharmapuri S.O,TS-Jagitial,TS,Jagitial,Telangana,Delivery,Karimnagar Division,Hyderabad Region,Telangana Circle
505301,Gandhichowk Srisilla S.O,TS-Rajanna Sircilla,TS,Rajanna Sircilla,Telangana,Non Delivery,Karimnagar Division,Hyderabad Region,Telangana Circle
505303,Kishandaspet S.O,TS-Rajanna Sircilla,TS,Rajanna Sircilla,Telangana,Delivery,Karimnagar Division,Hyderabad Region,Telangana Circle
505326,Koratla Bazar S.O,TS-Jagitial,TS,Jagitial,Telangana,Non Delivery,Karimnagar Division,Hyderabad Region,Telangana Circle
505325,Metpalli S.O,TS-Jagitial,TS,Jagitial,Telangana,Delivery,Karimnagar Division,Hyderabad Region,Telangana Circle
505302,Vemulawada S.O,TS-Rajanna Sircilla,TS,Rajanna Sircilla,Telangana,Delivery,Karimnagar Division,Hyderabad Region,Telangana Circle
505528,Bejjanki S.O,TS-Siddipet,TS,Siddipet,Telangana,Delivery,Karimnagar Division,Hyderabad Region,Telangana Circle
505524,Boenpalli S.O,TS-Rajanna Sircilla,TS,Rajanna Sircilla,Telangana,Delivery,Karimnagar Division,Hyderabad Region,Telangana Circle
505415,Choppadandi S.O,TS-Karimnagar,TS,Karimnagar,Telangana,Delivery,Karimnagar Division,Hyderabad Region,Telangana Circle
505526,Endapalli S.O,TS-Jagitial,TS,Jagitial,Telangana,Delivery,Karimnagar Division,Hyderabad Region,Telangana Circle
505001,Jawaharnagar S.O,TS-Karimnagar,TS,Karimnagar,Telangana,Non Delivery,Karimnagar Division,Hyderabad Region,Telangana Circle
505527,Lower Manair Dam Colony S.O,TS-Karimnagar,TS,Karimnagar,Telangana,Delivery,Karimnagar Division,Hyderabad Region,Telangana Circle
509135,Uppal Camp S.O,TS-Jogulamba Gadwal,TS,Jogulamba Gadwal,Telangana,Delivery,Mahabubnagar Division,Hyderabad Region,Telangana Circle
509334,Hunwada S.O,TS-Mahabubnagar,TS,Mahabubnagar,Telangana,Delivery,Mahabubnagar Division,Hyderabad Region,Telangana Circle
509350,Husnabad S.O,TS-Vikarabad,TS,Vikarabad,Telangana,Delivery,Mahabubnagar Division,Hyderabad Region,Telangana Circle
509339,Kosgi S.O,TS-Narayanpet,TS,Narayanpet,Telangana,Delivery,Mahabubnagar Division,Hyderabad Region,Telangana Circle
509352,Krishna S.O,TS-Narayanpet,TS,Narayanpet,Telangana,Delivery,Mahabubnagar Division,Hyderabad Region,Telangana Circle
509208,Makthal S.O,TS-Narayanpet,TS,Narayanpet,Telangana,Delivery,Mahabubnagar Division,Hyderabad Region,Telangana Circle
509337,Mohammadabad S.O,TS-Mahabubnagar,TS,Mahabubnagar,Telangana,Delivery,Mahabubnagar Division,Hyderabad Region,Telangana Circle
509380,Musapet S.O,TS-Mahabubnagar,TS,Mahabubnagar,Telangana,Delivery,Mahabubnagar Division,Hyderabad Region,Telangana Circle
509001,T.D. Gutta S.O,TS-Mahabubnagar,TS,Mahabubnagar,Telangana,Non Delivery,Mahabubnagar Division,Hyderabad Region,Telangana Circle
509001,Veerannapet S.O,TS-Mahabubnagar,TS,Mahabubnagar,Telangana,Non Delivery,Mahabubnagar Division,Hyderabad Region,Telangana Circle
502255,Chegunta S.O,TS-Medak,TS,Medak,Telangana,Delivery,Medak Division,Hyderabad City Region,Telangana Circle
